NAMESPACE                       NAME                                                  IMAGE REPOSITORY                                                                                                                        TAGS                                                           UPDATED
account-sit                     account-otorisasi-omni                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-otorisasi-omni                                          a89c8ae3,latest,30c6224c,1b3302c8 + 7 more...                  3 weeks ago
account-sit                     account-parameter-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-parameter-be                                            a6bdf3fb,latest,956af420,748bc0f1 + 58 more...                 3 weeks ago
account-sit                     account-preevent                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-preevent                                                latest,0919be89,1f377800,d7c6ae97 + 4 more...                  5 days ago
account-sit                     account-rdn-be                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-rdn-be                                                  799abba1,latest,f390d478,cd31d1fb + 31 more...                 3 months ago
account-sit                     account-rdn-omni                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/account-rdn-omni                                                e22d7ada,latest,04af2dee,70bcafc3 + 10 more...                 11 months ago
account-sit                     accountclosing-consumer                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/accountclosing-consumer                                         f2425641,latest,68b19717                                       2 months ago
account-sit                     accountsyr-onboarding-omni                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/accountsyr-onboarding-omni                                      latest,c01920db,64e08a95,9f9cb841 + 52 more...                 28 hours ago
account-sit                     dashboard-xgen-api                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/dashboard-xgen-api                                              latest,ffa39b2f,aa8b40a5,3b5e6420 + 24 more...                 13 months ago
account-sit                     dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/dotnet-21-runtime-rhel7                                         latest                                                         14 months ago
account-sit                     nodejs-12-rhel7                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/nodejs-12-rhel7                                                 latest                                                         13 months ago
account-sit                     web-dashboard-xgen                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-sit/web-dashboard-xgen                                              9cae5044,latest,f1b71982,5d0b9257 + 31 more...                 13 months ago
account-uat                     account-buku-cekbg-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-buku-cekbg-be                                           latest,e2ceeb48,06f4cb5f,d5aae1db + 5 more...                  6 months ago
account-uat                     account-closing-konven-be                             default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-closing-konven-be                                       latest,21f542ca,1d4296dc,cf3c2df6 + 12 more...                 9 days ago
account-uat                     account-closing-konven-omni                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-closing-konven-omni                                     latest,ccd15bb2,84aa92b5,abad677d + 1 more...                  6 days ago
account-uat                     account-closing-syariah-be                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-closing-syariah-be                                      latest,f6a37c16,c9c39dc3,7e43d187 + 11 more...                 3 months ago
account-uat                     account-closing-syariah-omni                          default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-closing-syariah-omni                                    latest,ebafdd3f,17c5a086,6c749097 + 5 more...                  3 months ago
account-uat                     account-inquiry-be                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-inquiry-be                                              latest,eb4772c4,ec083bbb,2b8d6e8f + 16 more...                 35 hours ago
account-uat                     account-maint-konven-be                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-maint-konven-be                                         8e9bc931,latest,3a982605,ff52269c + 50 more...                 13 days ago
account-uat                     account-maint-syariah-be                              default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-maint-syariah-be                                        c16b3023,latest,11966e21,e043b5d3 + 31 more...                 3 months ago
account-uat                     account-maintenance-konven-be                         default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-maintenance-konven-be                                   ba134a06,latest,1725659f,1c18dd1c + 23 more...                 3 weeks ago
account-uat                     account-maintenance-konven-omni                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-maintenance-konven-omni                                 f76df1de,latest,d368d59d,6ea19753 + 24 more...                 3 weeks ago
account-uat                     account-maintenance-syariah-be                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-maintenance-syariah-be                                  latest,ee4b6d8f,b006ee8f,10e6b991 + 9 more...                  3 months ago
account-uat                     account-maintenance-syariah-omni                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-maintenance-syariah-omni                                latest,0d10d61e,e94fb42d,6b495b74 + 6 more...                  5 months ago
account-uat                     account-onboarding-omni                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-onboarding-omni                                         a4446a5a,latest,c93c4939,61b10f33 + 47 more...                 34 hours ago
account-uat                     account-otorisasi-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-otorisasi-be                                            latest,1ad9fe7a,daaca662,f17182c5 + 10 more...                 3 weeks ago
account-uat                     account-otorisasi-omni                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-otorisasi-omni                                          latest,89da16fa,0fbb76fb,bece1e12 + 3 more...                  3 months ago
account-uat                     account-parameter-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-parameter-be                                            latest,89678bda,6c2fb6f3,761d0718 + 12 more...                 2 months ago
account-uat                     account-preevent                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-preevent                                                db5b5ad3,latest,3d556c7e,f3440916                              7 weeks ago
account-uat                     account-rdn-be                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-rdn-be                                                  latest,f390d478,eab34d58,94b582de + 15 more...                 3 months ago
account-uat                     account-rdn-omni                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/account-rdn-omni                                                latest,35513f1d,485ba863,705fb11f + 7 more...                  11 months ago
account-uat                     accountsyr-onboarding-omni                            default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/accountsyr-onboarding-omni                                      1511b7be,latest,f87d67c9,cf75f3f6 + 19 more...                 3 months ago
account-uat                     dashboard-xgen-api                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/dashboard-xgen-api                                              783ed5c8,latest,9e6972a2                                       13 months ago
account-uat                     dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/dotnet-21-runtime-rhel7                                         latest                                                         14 months ago
account-uat                     nodejs-12-rhel7                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/nodejs-12-rhel7                                                 latest                                                         13 months ago
account-uat                     web-dashboard-xgen                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/account-uat/web-dashboard-xgen                                              latest,8227d899                                                13 months ago
app1-sit                        dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/app1-sit/dotnet-21-runtime-rhel7                                            latest                                                         23 months ago
app1-sit                        inquirybalance                                        default-route-openshift-image-registry.apps.np.ocbcnisp.com/app1-sit/inquirybalance                                                     v2.72,v2.69,v2.67                                              22 months ago
app1-sit                        itg-openapi                                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/app1-sit/itg-openapi                                                        latest,v10.8,v10.6,v10.5,v10.0,v8.6 + 1 more...                21 months ago
app1-sit                        itg-testing                                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/app1-sit/itg-testing                                                        0.71,latest,0.49,0.38,0.35,0.34,0.33 + 4 more...               22 months ago
app1-sit                        openjdk                                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/app1-sit/openjdk                                                            8-jdk-alpine,8                                                 7 months ago
app1-uat                        itg-openapi                                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/app1-uat/itg-openapi                                                        latest,v4.7,v4.5,v4.2,v3.7,v3.4,v3.3,11 + 3 more...            22 months ago
argocd-project                  redis                                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/argocd-project/redis                                                        6.2.1-alpine                                                   6 months ago
banca-sit                       banca-job                                             default-route-openshift-image-registry.apps.np.ocbcnisp.com/banca-sit/banca-job                                                         532cfb22,latest,836d484c,d4ca8f84 + 4 more...                  3 months ago
banca-sit                       banca-vendors-api                                     default-route-openshift-image-registry.apps.np.ocbcnisp.com/banca-sit/banca-vendors-api                                                 latest,add3bf6b,e0e628cb,b72ac765 + 33 more...                 5 days ago
banca-sit                       dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/banca-sit/dotnet-21-runtime-rhel7                                           latest                                                         5 months ago
banca-uat                       banca-vendors-api                                     default-route-openshift-image-registry.apps.np.ocbcnisp.com/banca-uat/banca-vendors-api                                                 latest,7c54793a,9161c5e7,59659eb6 + 7 more...                  35 hours ago
banca-uat                       dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/banca-uat/dotnet-21-runtime-rhel7                                           latest                                                         5 months ago
banktrade-ppd                   banktrade-apiservices                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/banktrade-ppd/banktrade-apiservices                                         1.0.6,latest,1.0.5,1.0.4,1.0.2,1.0.1 + 1 more...               2 months ago
banktrade-ppd                   dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/banktrade-ppd/dotnet-21-runtime-rhel7                                       latest                                                         2 months ago
banktrade-sit                   banktrade-apiservices                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/banktrade-sit/banktrade-apiservices                                         latest,a1b2fe6b,6683ea33,3f28c8b1 + 13 more...                 9 days ago
banktrade-sit                   dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/banktrade-sit/dotnet-21-runtime-rhel7                                       latest                                                         2 months ago
banktrade-uat                   banktrade-apiservices                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/banktrade-uat/banktrade-apiservices                                         latest,a1b2fe6b,6683ea33,e6c92624 + 10 more...                 9 days ago
banktrade-uat                   dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/banktrade-uat/dotnet-21-runtime-rhel7                                       latest                                                         2 months ago
bifast-api-http-ppd             bifastconnectorinc-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-http-ppd/bifastconnectorinc-be                                   latest,1.0.0                                                   2 days ago
bifast-api-http-ppd             dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-http-ppd/dotnet-21-runtime-rhel7                                 latest                                                         2 days ago
bifast-api-http-sit             bifastconnectorinc-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-http-sit/bifastconnectorinc-be                                   latest,7fc3863c                                                2 days ago
bifast-api-http-sit             dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-http-sit/dotnet-21-runtime-rhel7                                 latest                                                         2 days ago
bifast-api-http-uat             bifastconnectorinc-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-http-uat/bifastconnectorinc-be                                   7fc3863c,latest                                                2 days ago
bifast-api-http-uat             dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-http-uat/dotnet-21-runtime-rhel7                                 latest                                                         2 days ago
bifast-api-ppd                  bifast-omni                                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifast-omni                                                  latest,1.0.3,1.0.2,1.0.1,1.0.0                                 8 hours ago
bifast-api-ppd                  bifast-preevent                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifast-preevent                                              latest,1.0.8,1.0.7,1.0.6,1.0.5,1.0.4 + 4 more...               31 hours ago
bifast-api-ppd                  bifast-scheduler                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifast-scheduler                                             1.0.1,latest                                                   8 days ago
bifast-api-ppd                  bifastconnectorinc-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifastconnectorinc-be                                        1.0.6,latest,1.0.5,1.0.4,1.0.3,1.0.2                           2 days ago
bifast-api-ppd                  bifastconnectorout-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifastconnectorout-be                                        latest,1.0.5,1.0.4,1.0.3,1.0.2,1.0.1 + 1 more...               30 hours ago
bifast-api-ppd                  bifastincomingtrx-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifastincomingtrx-be                                         latest,1.0.9,1.0.8,1.0.7,1.0.6,1.0.5 + 5 more...               25 hours ago
bifast-api-ppd                  bifastoutgoingproxy-be                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifastoutgoingproxy-be                                       latest,1.0.11,1.0.10,1.0.9,1.0.8,1.0.7 + 6 more...             25 hours ago
